Date,OPEN,HIGH,LOW,LAST_PRICE
2016-01-04 18:00:00-05:00,36.9,36.93,36.87,36.9
2016-01-04 18:05:00-05:00,36.9,36.9,36.87,36.89
2016-01-04 18:10:00-05:00,36.88,36.89,36.83,36.86
2016-01-04 18:15:00-05:00,36.85,36.91,36.82,36.89
2016-01-04 18:20:00-05:00,36.89,36.89,36.81,36.81
2016-01-04 18:25:00-05:00,36.81,36.81,36.78,36.81
2016-01-04 18:30:00-05:00,36.82,36.87,36.81,36.85
2016-01-04 18:35:00-05:00,36.84,36.86,36.82,36.83
2016-01-04 18:40:00-05:00,36.83,36.85,36.82,36.83
2016-01-04 18:45:00-05:00,36.83,36.87,36.82,36.86
2016-01-04 18:50:00-05:00,36.87,36.87,36.85,36.87
2016-01-04 18:55:00-05:00,36.87,36.88,36.87,36.87
2016-01-04 19:00:00-05:00,36.87,36.91,36.87,36.9
2016-01-04 19:05:00-05:00,36.91,36.91,36.9,36.9
2016-01-04 19:10:00-05:00,36.9,36.91,36.89,36.9
2016-01-04 19:15:00-05:00,36.9,36.91,36.89,36.9
2016-01-04 19:20:00-05:00,36.9,36.9,36.88,36.89
2016-01-04 19:25:00-05:00,36.89,36.9,36.88,36.89
2016-01-04 19:30:00-05:00,36.9,36.9,36.89,36.9
2016-01-04 19:35:00-05:00,36.89,36.91,36.89,36.91
2016-01-04 19:40:00-05:00,36.91,36.91,36.9,36.9
2016-01-04 19:45:00-05:00,36.91,36.91,36.85,36.88
2016-01-04 19:50:00-05:00,36.88,36.88,36.86,36.87
2016-01-04 19:55:00-05:00,36.87,36.87,36.86,36.87
2016-01-04 20:00:00-05:00,36.86,36.87,36.8,36.84
2016-01-04 20:05:00-05:00,36.84,36.88,36.83,36.87
2016-01-04 20:10:00-05:00,36.87,36.88,36.86,36.87
2016-01-04 20:15:00-05:00,36.87,36.87,36.85,36.86
2016-01-04 20:20:00-05:00,36.87,36.87,36.86,36.87
2016-01-04 20:25:00-05:00,36.87,36.88,36.86,36.88
2016-01-04 20:30:00-05:00,36.89,36.99,36.87,36.99
2016-01-04 20:35:00-05:00,37,37.03,36.97,37.01
2016-01-04 20:40:00-05:00,37.02,37.02,36.96,37.02
2016-01-04 20:45:00-05:00,37.02,37.08,37,37.07
2016-01-04 20:50:00-05:00,37.07,37.08,37.04,37.04
2016-01-04 20:55:00-05:00,37.04,37.07,37.03,37.06
2016-01-04 21:00:00-05:00,37.07,37.07,37.03,37.03
2016-01-04 21:05:00-05:00,37.03,37.04,37,37.01
2016-01-04 21:10:00-05:00,37.01,37.03,36.99,36.99
2016-01-04 21:15:00-05:00,37,37.01,36.94,36.96
2016-01-04 21:20:00-05:00,36.96,36.97,36.95,36.97
2016-01-04 21:25:00-05:00,36.97,37,36.96,37
2016-01-04 21:30:00-05:00,37,37.04,37,37.04
2016-01-04 21:35:00-05:00,37.04,37.04,37,37
2016-01-04 21:40:00-05:00,37,37.01,36.98,36.99
2016-01-04 21:45:00-05:00,36.99,37,36.98,36.98
2016-01-04 21:50:00-05:00,36.98,37.01,36.97,37.01
2016-01-04 21:55:00-05:00,37.02,37.05,37.01,37.05
2016-01-04 22:00:00-05:00,37.05,37.08,37.03,37.07
2016-01-04 22:05:00-05:00,37.07,37.1,37.07,37.09
2016-01-04 22:10:00-05:00,37.09,37.1,37.07,37.08
2016-01-04 22:15:00-05:00,37.08,37.08,37.06,37.07
2016-01-04 22:20:00-05:00,37.06,37.07,37.06,37.06
2016-01-04 22:25:00-05:00,37.07,37.08,37.06,37.07
2016-01-04 22:30:00-05:00,37.07,37.08,37.06,37.07
2016-01-04 22:35:00-05:00,37.07,37.07,37.06,37.06
2016-01-04 22:40:00-05:00,37.06,37.06,37.03,37.04
2016-01-04 22:45:00-05:00,37.05,37.05,36.99,37
2016-01-04 22:50:00-05:00,36.99,37,36.97,36.98
2016-01-04 22:55:00-05:00,36.98,36.98,36.96,36.97
2016-01-04 23:00:00-05:00,36.97,36.99,36.96,36.99
2016-01-04 23:05:00-05:00,36.99,37.01,36.99,37.01
2016-01-04 23:10:00-05:00,37,37.02,37,37.02
2016-01-04 23:15:00-05:00,37.01,37.02,37.01,37.02
2016-01-04 23:20:00-05:00,37.02,37.02,36.98,36.98
2016-01-04 23:25:00-05:00,36.99,37,36.98,37
2016-01-04 23:30:00-05:00,36.99,37.03,36.98,37.02
2016-01-04 23:35:00-05:00,37.02,37.05,37.02,37.03
2016-01-04 23:40:00-05:00,37.03,37.04,37.03,37.04
2016-01-04 23:45:00-05:00,37.04,37.04,37.03,37.04
2016-01-04 23:50:00-05:00,37.04,37.05,37.03,37.05
2016-01-04 23:55:00-05:00,37.06,37.07,37.05,37.05
2016-01-05 00:00:00-05:00,37.06,37.07,37.02,37.04
2016-01-05 00:05:00-05:00,37.04,37.07,37.04,37.07
2016-01-05 00:10:00-05:00,37.07,37.07,37.03,37.04
2016-01-05 00:15:00-05:00,37.04,37.04,36.99,36.99
2016-01-05 00:20:00-05:00,36.99,37.01,36.96,36.97
2016-01-05 00:25:00-05:00,36.98,36.98,36.93,36.93
2016-01-05 00:30:00-05:00,36.93,36.93,36.87,36.87
2016-01-05 00:35:00-05:00,36.87,36.89,36.86,36.89
2016-01-05 00:40:00-05:00,36.88,36.89,36.87,36.88
2016-01-05 00:45:00-05:00,36.88,36.93,36.87,36.89
2016-01-05 00:50:00-05:00,36.89,36.9,36.86,36.87
2016-01-05 00:55:00-05:00,36.86,36.87,36.83,36.86
2016-01-05 01:00:00-05:00,36.86,36.91,36.86,36.88
2016-01-05 01:05:00-05:00,36.88,36.89,36.84,36.85
2016-01-05 01:10:00-05:00,36.85,36.86,36.81,36.82
2016-01-05 01:15:00-05:00,36.81,36.86,36.81,36.82
2016-01-05 01:20:00-05:00,36.82,36.83,36.78,36.83
2016-01-05 01:25:00-05:00,36.83,36.87,36.83,36.85
2016-01-05 01:30:00-05:00,36.85,36.86,36.81,36.84
2016-01-05 01:35:00-05:00,36.84,36.91,36.84,36.89
2016-01-05 01:40:00-05:00,36.88,36.89,36.84,36.86
2016-01-05 01:45:00-05:00,36.86,36.88,36.84,36.88
2016-01-05 01:50:00-05:00,36.88,36.9,36.87,36.88
2016-01-05 01:55:00-05:00,36.88,36.89,36.85,36.86
2016-01-05 02:00:00-05:00,36.86,36.9,36.85,36.89
2016-01-05 02:05:00-05:00,36.9,36.98,36.89,36.94
2016-01-05 02:10:00-05:00,36.93,36.95,36.89,36.9
2016-01-05 02:15:00-05:00,36.9,36.92,36.87,36.88
2016-01-05 02:20:00-05:00,36.88,36.91,36.76,36.77
2016-01-05 02:25:00-05:00,36.77,36.84,36.75,36.78
2016-01-05 02:30:00-05:00,36.77,36.82,36.77,36.8
2016-01-05 02:35:00-05:00,36.8,36.86,36.79,36.82
2016-01-05 02:40:00-05:00,36.82,36.87,36.81,36.82
2016-01-05 02:45:00-05:00,36.82,36.84,36.77,36.77
2016-01-05 02:50:00-05:00,36.78,36.81,36.76,36.77
2016-01-05 02:55:00-05:00,36.78,36.81,36.72,36.76
2016-01-05 03:00:00-05:00,36.77,36.77,36.69,36.73
2016-01-05 03:05:00-05:00,36.73,36.77,36.72,36.74
2016-01-05 03:10:00-05:00,36.75,36.75,36.65,36.69
2016-01-05 03:15:00-05:00,36.69,36.72,36.63,36.65
2016-01-05 03:20:00-05:00,36.65,36.68,36.59,36.63
2016-01-05 03:25:00-05:00,36.64,36.72,36.54,36.69
2016-01-05 03:30:00-05:00,36.69,36.75,36.65,36.71
2016-01-05 03:35:00-05:00,36.7,36.76,36.66,36.66
2016-01-05 03:40:00-05:00,36.67,36.68,36.63,36.63
2016-01-05 03:45:00-05:00,36.64,36.67,36.58,36.61
2016-01-05 03:50:00-05:00,36.61,36.64,36.59,36.62
2016-01-05 03:55:00-05:00,36.62,36.69,36.61,36.68
2016-01-05 04:00:00-05:00,36.68,36.71,36.63,36.64
2016-01-05 04:05:00-05:00,36.65,36.69,36.65,36.69
2016-01-05 04:10:00-05:00,36.69,36.8,36.68,36.73
2016-01-05 04:15:00-05:00,36.73,36.82,36.73,36.81
2016-01-05 04:20:00-05:00,36.81,36.81,36.77,36.79
2016-01-05 04:25:00-05:00,36.79,36.79,36.71,36.73
2016-01-05 04:30:00-05:00,36.72,36.82,36.71,36.81
2016-01-05 04:35:00-05:00,36.81,36.84,36.79,36.79
2016-01-05 04:40:00-05:00,36.8,36.88,36.78,36.84
2016-01-05 04:45:00-05:00,36.85,36.92,36.84,36.91
2016-01-05 04:50:00-05:00,36.91,36.93,36.86,36.88
2016-01-05 04:55:00-05:00,36.88,36.88,36.83,36.85
2016-01-05 05:00:00-05:00,36.85,36.86,36.72,36.75
